,Sales,Assortment,StoreType
514,3580238.0,c,d
515,7056301.0,c,a
516,4579807.0,c,a
517,4525491.0,c,d
518,3653972.0,c,c
519,4160155.0,c,a
520,3033870.0,a,d
521,4036010.0,c,d
522,5122860.0,c,c
523,12175995.0,c,a
524,6793232.0,c,d
525,8012460.0,a,a
526,8312841.0,c,d
527,8383796.0,c,a
528,8338762.0,c,d
529,6133846.0,c,a
530,4198697.0,c,a
531,3843117.0,c,a
532,8487100.0,c,a
533,7505547.0,a,d
534,4684684.0,a,a
535,6322186.0,c,a
536,6484095.0,a,a
537,4335799.0,a,a
538,3025475.0,a,a
539,7035419.0,c,d
540,3513672.0,c,a
541,5235513.0,a,a
542,3885411.0,a,c
543,2179287.0,a,a
544,10993709.0,c,a
545,8284865.0,a,a
546,10726323.0,c,d
547,3578049.0,c,d
548,3896082.0,c,a
549,3639890.0,c,d
550,4665403.0,c,a
551,5142553.0,a,a
552,6030778.0,a,c
553,5468991.0,c,c
554,3513115.0,a,d
555,3223315.0,c,d
556,5620964.0,a,a
557,3410036.0,a,a
558,2541355.0,a,d
559,4588710.0,c,c
560,10168806.0,a,d
561,5385871.0,c,b
562,16927322.0,a,a
563,4278470.0,c,d
564,4306402.0,c,a
565,5169769.0,a,a
566,3845237.0,a,c
567,4083132.0,c,d
568,3809325.0,a,a
569,3543332.0,a,a
570,3533080.0,a,d
571,4815991.0,c,d
572,5345670.0,a,a
573,2472309.0,a,d
574,6913915.0,a,a
575,3343994.0,a,c
576,5474294.0,c,a
577,3883479.0,a,d
578,7356117.0,a,c
579,6461297.0,c,a
580,7994967.0,a,a
581,4154967.0,a,a
582,5492051.0,a,a
583,3363288.0,a,d
584,3697954.0,c,d
585,4449323.0,c,a
586,11742401.0,c,d
587,6020227.0,c,d
588,4825215.0,c,a
589,3537175.0,c,d
590,3872700.0,c,a
591,4429448.0,a,a
592,3465390.0,c,a
593,7454238.0,a,a
594,3258199.0,c,c
595,11774982.0,a,c
596,3532562.0,a,a
597,3957495.0,a,c
598,3665006.0,c,d
599,7659466.0,c,d
600,5485348.0,a,d
601,3807976.0,a,a
602,4920431.0,a,a
603,5297052.0,a,d
604,4953601.0,a,d
605,5466800.0,a,a
606,4577941.0,a,a
607,3051294.0,c,a
608,7275038.0,a,a
609,3636230.0,a,a
610,3269954.0,a,a
611,3602813.0,c,d
612,4246423.0,a,c
613,5261587.0,a,a
614,5140680.0,a,d
615,7585401.0,c,a
616,6611772.0,c,a
617,4960149.0,c,d
618,5334682.0,a,a
619,2676841.0,c,d
620,4835283.0,a,a
621,4608739.0,c,a
622,3385282.0,a,a
623,5473895.0,c,a
624,5467853.0,a,a
625,4907852.0,c,c
626,7318373.0,c,c
627,4679168.0,c,a
628,4885169.0,a,d
629,4760004.0,a,a
630,5403029.0,c,d
631,4233841.0,a,a
632,5510559.0,a,d
633,4482889.0,a,d
634,5236366.0,a,a
635,4609211.0,a,c
636,3692957.0,c,d
637,5415918.0,a,d
638,3713936.0,a,a
639,3688329.0,c,d
640,8984969.0,c,a
641,4490386.0,c,c
642,2845461.0,a,a
643,6267634.0,a,c
644,5537010.0,a,a
645,8337410.0,a,a
646,3126126.0,c,a
647,4527267.0,a,d
648,5154013.0,a,a
649,2873358.0,a,a
650,3975207.0,a,a
651,5932759.0,a,a
652,5190629.0,c,d
653,4608178.0,a,c
654,5050619.0,c,d
655,6256703.0,a,d
656,2534495.0,c,c
657,4698459.0,c,d
658,4719829.0,a,d
659,4407938.0,a,a
660,2871525.0,c,d
661,5503903.0,a,d
662,6616587.0,c,a
663,3623173.0,c,d
664,3858158.0,a,a
665,6360621.0,c,c
666,5451906.0,c,d
667,6879831.0,a,c
668,7009629.0,a,d
669,2807854.0,a,a
670,4092358.0,c,a
671,3691881.0,a,c
672,6892942.0,c,d
673,5536916.0,a,a
674,6112239.0,a,a
675,3341266.0,b,b
676,7057092.0,a,d
677,4938047.0,a,c
678,5686651.0,a,a
679,7796037.0,a,c
680,4080960.0,c,a
681,2731676.0,a,b
682,10557379.0,a,a
683,7171315.0,c,d
684,4802690.0,a,a
685,5165199.0,a,a
686,4875320.0,c,d
687,6522150.0,a,a
688,2820350.0,a,d
689,5503014.0,a,a
690,4354600.0,c,d
691,6521018.0,a,a
692,5132377.0,a,d
693,5160800.0,c,a
694,5005559.0,a,a
695,4201243.0,c,a
696,6154509.0,a,d
697,8301159.0,a,a
698,12202270.0,a,a
699,6373219.0,c,a
700,3297857.0,a,d
701,3594522.0,a,a
702,2720610.0,a,a
703,2563326.0,c,d
704,8138397.0,a,a
705,6206501.0,a,d
706,3572311.0,c,a
707,6481071.0,c,c
708,3145529.0,a,a
709,7751342.0,a,d
710,2828018.0,a,d
711,4307666.0,a,a
712,3994137.0,c,a
713,8349365.0,c,d
714,3538417.0,a,a
715,5037090.0,a,d
716,3556025.0,c,d
717,4325705.0,a,a
718,6178736.0,c,c
719,3348602.0,c,a
720,5618245.0,c,a
721,6015956.0,a,a
722,7711931.0,c,d
723,5492073.0,c,d
724,5307253.0,c,d
725,4505981.0,c,a
726,8617965.0,a,a
727,3537376.0,a,d
728,4075915.0,c,c
729,8217604.0,a,c
730,6315412.0,a,a
731,7177402.0,c,a
732,5135916.0,b,b
733,14067158.0,a,a
734,4658828.0,c,d
735,4304462.0,c,c
736,3261815.0,a,a
737,4765845.0,c,d
738,6628200.0,c,d
739,5944868.0,a,d
740,5449956.0,c,d
741,5973663.0,c,d
742,6252167.0,a,a
743,2976940.0,a,a
744,4511526.0,a,a
745,5849281.0,c,d
746,4716888.0,c,c
747,6261174.0,a,d
748,4469650.0,a,a
749,4042901.0,a,d
750,3108353.0,a,a
751,3284432.0,a,a
752,4091043.0,c,d
753,6785308.0,c,c
754,6324001.0,c,d
755,8187392.0,c,a
756,12911782.0,c,a
757,4832775.0,c,a
758,3768116.0,a,a
759,5460897.0,a,a
760,5935009.0,a,a
761,6843911.0,c,d
762,2965697.0,c,d
763,4802197.0,c,a
764,2714404.0,c,a
765,6609836.0,c,d
766,3809093.0,c,a
767,4722348.0,c,a
768,10185601.0,b,b
769,10198000.0,c,a
770,5046197.0,a,a
771,4181091.0,c,d
772,2804862.0,a,a
773,4464281.0,c,a
774,4307095.0,c,d
775,5405733.0,a,c
776,3728530.0,c,d
777,3109262.0,a,a
778,3670582.0,a,a
779,5560247.0,a,a
780,5106807.0,a,a
781,3839505.0,c,c
782,4275775.0,c,d
783,5364665.0,a,a
784,6038270.0,c,d
785,5072473.0,a,a
786,2779666.0,c,c
787,7977175.0,c,a
788,14082141.0,c,a
789,2626269.0,c,d
790,5820810.0,a,a
791,5973977.0,a,d
792,5756322.0,a,d
793,3764223.0,c,c
794,2405374.0,a,d
795,3547312.0,c,a
796,5643678.0,a,a
797,2617520.0,a,a
798,5825254.0,c,a
799,7708195.0,a,d
800,4157860.0,a,d
801,3798660.0,c,a
802,5363403.0,a,d
803,4650665.0,c,c
804,3061600.0,a,d
805,3784390.0,a,d
806,4234755.0,a,a
807,7669453.0,a,a
808,5687084.0,a,a
809,7317626.0,c,d
810,4619798.0,a,a
811,3239518.0,a,d
812,4966087.0,a,a
813,4514925.0,c,d
814,6628829.0,a,a
815,5222211.0,c,c
816,3998667.0,a,a
817,17057867.0,a,d
818,4772357.0,c,a
819,4775423.0,c,a
820,7517399.0,a,a
821,5438993.0,c,a
822,6066329.0,c,a
823,4549069.0,a,a
824,5358101.0,a,a
825,2838137.0,c,a
826,6859209.0,c,a
827,10000214.0,c,d
828,4055958.0,a,c
829,4624043.0,c,a
830,4816406.0,a,a
831,9884733.0,a,d
832,5115779.0,c,d
833,4293342.0,a,a
834,4600937.0,a,a
835,3979293.0,a,a
836,4606682.0,c,a
837,2608765.0,c,d
838,6246047.0,a,c
839,4019692.0,a,a
840,5738112.0,a,a
841,2318635.0,c,d
842,11553523.0,a,c
843,7423466.0,a,a
844,3255217.0,a,d
845,3746964.0,c,a
846,7185993.0,c,c
847,5518727.0,c,a
848,5059150.0,c,c
849,6393691.0,a,d
850,4787781.0,c,d
851,3392054.0,a,c
852,3597687.0,a,a
853,7181892.0,a,c
854,5130172.0,a,a
855,4477596.0,a,a
856,5599626.0,a,c
857,5815578.0,a,a
858,2957986.0,a,c
859,4667332.0,c,c
860,4521003.0,c,c
861,2674267.0,c,a
862,6715065.0,c,a
863,6836861.0,a,a
864,3316575.0,c,d
865,5894369.0,a,d
866,5368119.0,c,d
867,3809715.0,c,d
868,7480652.0,a,c
869,4659180.0,a,a
870,5349346.0,c,d
871,4889449.0,c,a
872,6649861.0,a,a
873,2990009.0,a,a
874,3593615.0,a,d
875,3943035.0,a,a
876,7069345.0,c,a
877,5103191.0,c,d
878,6801666.0,a,d
879,2340576.0,c,a
880,5832985.0,a,a
881,3274150.0,a,a
882,5081054.0,a,a
883,3714779.0,c,d
884,3443958.0,a,a
885,4235932.0,c,a
886,5018882.0,a,d
887,5317050.0,a,d
888,6271013.0,a,d
889,3232661.0,a,a
890,3563801.0,c,a
891,6189692.0,a,a
892,5927347.0,a,a
893,3978679.0,a,a
894,6529198.0,c,a
895,7248912.0,c,a
896,5439130.0,c,c
897,2717511.0,a,a
898,5173270.0,a,d
899,4109286.0,a,a
900,3635287.0,c,a
901,5669137.0,a,a
902,3039385.0,c,d
903,7300878.0,c,d
904,3742423.0,a,a
905,6645066.0,a,a
906,8535775.0,c,a
907,4884914.0,a,a
908,3307400.0,c,a
909,6512493.0,c,d
910,4452869.0,c,a
911,7749768.0,c,c
912,4520528.0,a,a
913,6900317.0,c,c
914,7453259.0,c,d
915,3942303.0,a,a
916,4176608.0,a,a
917,5221594.0,c,a
918,4046072.0,a,a
919,3438093.0,a,a
920,3585330.0,a,a
921,7389638.0,a,d
922,5739531.0,a,a
923,4167230.0,a,a
924,3702496.0,a,c
925,5147464.0,c,d
926,5655998.0,a,a
927,5059388.0,c,d
928,6243438.0,c,a
929,4559231.0,a,a
930,5569973.0,c,a
931,3140234.0,a,a
932,4607215.0,c,a
933,5718554.0,c,a
934,5268860.0,c,a
935,4430153.0,a,a
936,5496846.0,a,d
937,5648895.0,a,a
938,7375962.0,a,d
939,4656745.0,c,d
940,5657022.0,a,a
941,3129057.0,c,d
942,4731583.0,c,d
943,5428994.0,a,c
944,6217518.0,c,a
945,3429965.0,a,a
946,3274470.0,a,a
947,6470539.0,b,b
948,6437314.0,a,a
949,4194405.0,a,a
950,4450296.0,c,d
951,6058267.0,c,d
952,4085326.0,a,a
953,4162942.0,a,a
954,5426552.0,c,d
955,3676529.0,a,a
956,2992188.0,c,d
957,6192726.0,a,a
958,3327635.0,c,a
959,5528325.0,a,d
960,5251132.0,c,d
961,5080588.0,a,c
962,5125011.0,c,a
963,8385406.0,a,a
964,7534699.0,c,a
965,6626600.0,a,a
966,3753283.0,c,a
967,6731473.0,a,c
968,5609742.0,c,a
969,2645117.0,a,a
970,2573975.0,a,c
971,6392792.0,a,a
972,2402627.0,c,d
973,5017528.0,a,a
974,7178474.0,c,a
975,6010559.0,a,a
976,5433498.0,a,a
977,2974291.0,c,c
978,5626588.0,c,a
979,4898808.0,a,a
980,5468281.0,c,d
981,5700952.0,a,d
982,6285458.0,a,a
983,7941077.0,a,c
984,4708162.0,c,c
985,6516900.0,a,a
986,4802035.0,a,c
987,5368327.0,a,a
988,3683288.0,a,a
989,3260812.0,a,d
990,4999125.0,a,a
991,4484520.0,a,a
992,4452757.0,c,d
993,5942063.0,a,a
994,3536283.0,a,d
995,7226190.0,a,c
996,4993206.0,c,d
997,4028334.0,a,a
998,3354263.0,c,d
999,7163321.0,c,a
1000,4635525.0,a,c
1001,4239004.0,c,d
1002,4753790.0,a,a
1003,5751204.0,c,d
1004,3212907.0,a,a
1005,4834459.0,c,c
1006,4970130.0,c,c
1007,5485024.0,c,a
1008,4179585.0,a,a
1009,2968299.0,c,d
1010,6957339.0,c,a
1011,6137147.0,c,d
1012,3762920.0,a,a
1013,3110984.0,c,a
1014,9509102.0,c,d
1015,4705183.0,c,c
1016,4213934.0,a,c
1017,5539437.0,c,c
1018,9187204.0,c,d
1019,5651236.0,a,a
1020,7054345.0,a,a
1021,6835866.0,c,a
1022,5706179.0,a,c
1023,4799042.0,c,c
1024,4810209.0,a,a
1025,5762189.0,a,c
1026,7397085.0,c,a
1027,8163847.0,a,a
1028,3686723.0,a,a
1029,4224868.0,a,a
1030,2816323.0,a,d
1031,3773364.0,c,d
1032,7172255.0,a,a
1033,10870270.0,a,a
1034,5072945.0,a,a
1035,3803794.0,c,d
1036,3884252.0,c,a
1037,5387026.0,a,d
1038,3668097.0,c,a
1039,6307879.0,a,a
1040,6775360.0,a,c
1041,3801487.0,a,a
1042,3218244.0,a,c
1043,6858406.0,a,c
1044,5145309.0,c,a
1045,6654188.0,c,d
1046,6784716.0,a,a
1047,3791124.0,c,d
1048,5392653.0,a,a
1049,2478906.0,c,d
1050,5771211.0,a,c
1051,5737921.0,c,a
1052,5662859.0,a,a
1053,7002929.0,c,a
1054,4730838.0,a,c
1055,6197127.0,c,d
1056,2415557.0,c,d
1057,5036413.0,c,a
1058,5658141.0,a,c
1059,6604849.0,c,a
1060,5707977.0,c,d
1061,5732970.0,a,d
1062,4990259.0,c,a
1063,3348689.0,c,a
1064,7365896.0,a,a
1065,2611257.0,a,a
1066,8626583.0,c,d
1067,3580348.0,c,d
1068,3451074.0,c,a
1069,4930721.0,c,c
1070,5515214.0,a,a
1071,4725345.0,c,a
1072,5314269.0,c,a
1073,5668621.0,c,c
1074,4014070.0,c,a
1075,9004545.0,c,a
1076,2820000.0,a,a
1077,3497529.0,c,d
1078,5289878.0,a,a
1079,6783229.0,a,a
1080,6338656.0,a,b
1081,4485164.0,a,c
1082,5494934.0,c,d
1083,4019314.0,a,a
1084,4904211.0,a,c
1085,5932711.0,a,a
1086,5996057.0,c,d
1087,4925247.0,a,a
1088,3960984.0,a,d
1089,7915233.0,a,a
1090,5033396.0,c,a
1091,6488655.0,a,a
1092,7439455.0,c,c
1093,6504285.0,a,d
1094,2845473.0,a,a
1095,3739067.0,c,a
1096,4250632.0,b,b
1097,9179413.0,a,a
1098,4102408.0,c,a
1099,6914599.0,a,a
1100,4167374.0,c,d
1101,7818257.0,a,a
1102,4353993.0,c,d
1103,3920264.0,a,d
1104,3397012.0,c,c
1105,3555802.0,c,a
1106,3836971.0,a,a
1107,3882362.0,a,a
1108,4482599.0,a,c
1109,3064721.0,c,c
1110,3548486.0,a,a
1111,4091076.0,c,c
1112,7974294.0,c,a
1113,5196242.0,c,a
1114,16202585.0,c,d
1115,4922229.0,,
0,,a,c
